日期,类型,分类,金额,商家,片区,支付方式,人情往来,备注
2026-08-01,支出,正餐,128.50,海底捞,城东,微信,0,周末聚餐
2026-08-01,支出,咖啡奶茶,18.00,瑞幸,,支付宝,0,
2026-08-02,支出,快餐,32.00,麦当劳,城西,微信,0,
2026-08-03,收入,基本工资,12000.00,,,银行卡,0,八月工资
2026-08-04,支出,礼金红包,500.00,同事婚礼,,微信,1,随份子
2026-08-05,支出,电影,78.00,万达影城,城东,支付宝,0,
2026-08-06,支出,打车,24.60,,,微信,0,加班回家
2026-08-07,支出,家庭买菜,86.30,盒马,城东,支付宝,0,
2026-08-08,支出,电费,210.00,,,银行卡,0,
2026-08-09,支出,咖啡奶茶,15.00,喜茶,,微信,0,
2026-08-10,收入,红包礼金,200.00,亲戚,,微信,1,生日红包
2026-08-11,支出,公共交通,4.00,,,其他,0,地铁
2026-08-12,支出,零食水果,27.80,永辉,城西,支付宝,0,
2026-08-13,支出,游戏充值,68.00,,,微信,0,
2026-08-14,支出,外卖,42.00,美团,,支付宝,0,
