发生时点,对手,事由,金额大写
八月一日上午,海底捞西湖店,正餐,肆元
八月二日,盒马鲜生,买菜,拾捌元
八月三日,瑞幸咖啡,咖啡,贰拾捌元伍角
八月四日午间,杭州地铁,地铁,叁拾伍元
八月五日,滴滴出行,打车,陆拾捌元
八月六日,永辉超市,观影,壹佰零贰元
八月七日晚间,万达影城,随礼,壹佰贰拾捌元伍角
八月八日,同事婚礼,正餐,贰佰捌拾陆元
八月九日,海底捞西湖店,买菜,伍佰圆整
八月十日傍晚,盒马鲜生,咖啡,肆元
八月十一日,瑞幸咖啡,地铁,拾捌元
八月十二日,杭州地铁,打车,贰拾捌元伍角
八月十三日上午,滴滴出行,观影,叁拾伍元
八月十四日,永辉超市,随礼,陆拾捌元
八月十五日,万达影城,正餐,壹佰零贰元
八月十六日午间,同事婚礼,买菜,壹佰贰拾捌元伍角
八月十七日,海底捞西湖店,咖啡,贰佰捌拾陆元
八月十八日,盒马鲜生,地铁,伍佰圆整
八月十九日晚间,瑞幸咖啡,打车,肆元
八月二十日,杭州地铁,观影,拾捌元
八月二十一日,滴滴出行,随礼,贰拾捌元伍角
八月二十二日傍晚,永辉超市,正餐,叁拾伍元
八月二十三日,万达影城,买菜,陆拾捌元
八月二十四日,同事婚礼,咖啡,壹佰零贰元
八月二十五日上午,海底捞西湖店,地铁,壹佰贰拾捌元伍角
八月二十六日,盒马鲜生,打车,贰佰捌拾陆元
八月二十七日,瑞幸咖啡,观影,伍佰圆整
八月二十八日午间,杭州地铁,随礼,肆元
八月二十九日,滴滴出行,正餐,拾捌元
八月三十日,永辉超市,买菜,贰拾捌元伍角
八月一日晚间,万达影城,咖啡,叁拾伍元
八月二日,同事婚礼,地铁,陆拾捌元
八月三日,海底捞西湖店,打车,壹佰零贰元
八月四日傍晚,盒马鲜生,观影,壹佰贰拾捌元伍角
八月五日,瑞幸咖啡,随礼,贰佰捌拾陆元
八月六日,杭州地铁,正餐,伍佰圆整
八月七日上午,滴滴出行,买菜,肆元
八月八日,永辉超市,咖啡,拾捌元
八月九日,万达影城,地铁,贰拾捌元伍角
八月十日午间,同事婚礼,打车,叁拾伍元
八月十一日,海底捞西湖店,观影,陆拾捌元
八月十二日,盒马鲜生,随礼,壹佰零贰元
八月十三日晚间,瑞幸咖啡,正餐,壹佰贰拾捌元伍角
八月十四日,杭州地铁,买菜,贰佰捌拾陆元
八月十五日,滴滴出行,咖啡,伍佰圆整
八月十六日傍晚,永辉超市,地铁,肆元
八月十七日,万达影城,打车,拾捌元
八月十八日,同事婚礼,观影,贰拾捌元伍角
八月十九日上午,海底捞西湖店,随礼,叁拾伍元
八月二十日,盒马鲜生,正餐,陆拾捌元
八月二十一日,瑞幸咖啡,买菜,壹佰零贰元
八月二十二日午间,杭州地铁,咖啡,壹佰贰拾捌元伍角
八月二十三日,滴滴出行,地铁,贰佰捌拾陆元
八月二十四日,永辉超市,打车,伍佰圆整
八月二十五日晚间,万达影城,观影,肆元
八月二十六日,同事婚礼,随礼,拾捌元
八月二十七日,海底捞西湖店,正餐,贰拾捌元伍角
八月二十八日傍晚,盒马鲜生,买菜,叁拾伍元
八月二十九日,瑞幸咖啡,咖啡,陆拾捌元
八月三十日,杭州地铁,地铁,壹佰零贰元
八月一日上午,滴滴出行,打车,壹佰贰拾捌元伍角
八月二日,永辉超市,观影,贰佰捌拾陆元
八月三日,万达影城,随礼,伍佰圆整
八月四日午间,同事婚礼,正餐,肆元
八月五日,海底捞西湖店,买菜,拾捌元
八月六日,盒马鲜生,咖啡,贰拾捌元伍角
八月七日晚间,瑞幸咖啡,地铁,叁拾伍元
八月八日,杭州地铁,打车,陆拾捌元
八月九日,滴滴出行,观影,壹佰零贰元
八月十日傍晚,永辉超市,随礼,壹佰贰拾捌元伍角
八月十一日,万达影城,正餐,贰佰捌拾陆元
八月十二日,同事婚礼,买菜,伍佰圆整
八月十三日上午,海底捞西湖店,咖啡,肆元
八月十四日,盒马鲜生,地铁,拾捌元
八月十五日,瑞幸咖啡,打车,贰拾捌元伍角
八月十六日午间,杭州地铁,观影,叁拾伍元
八月十七日,滴滴出行,随礼,陆拾捌元
八月十八日,永辉超市,正餐,壹佰零贰元
八月十九日晚间,万达影城,买菜,壹佰贰拾捌元伍角
八月二十日,同事婚礼,咖啡,贰佰捌拾陆元
八月二十一日,海底捞西湖店,地铁,伍佰圆整
八月二十二日傍晚,盒马鲜生,打车,肆元
八月二十三日,瑞幸咖啡,观影,拾捌元
八月二十四日,杭州地铁,随礼,贰拾捌元伍角
八月二十五日上午,滴滴出行,正餐,叁拾伍元
八月二十六日,永辉超市,买菜,陆拾捌元
八月二十七日,万达影城,咖啡,壹佰零贰元
八月二十八日午间,同事婚礼,地铁,壹佰贰拾捌元伍角
八月二十九日,海底捞西湖店,打车,贰佰捌拾陆元
八月三十日,盒马鲜生,观影,伍佰圆整
八月一日晚间,瑞幸咖啡,随礼,肆元
八月二日,杭州地铁,正餐,拾捌元
八月三日,滴滴出行,买菜,贰拾捌元伍角
八月四日傍晚,永辉超市,咖啡,叁拾伍元
八月五日,万达影城,地铁,陆拾捌元
八月六日,同事婚礼,打车,壹佰零贰元
八月七日上午,海底捞西湖店,观影,壹佰贰拾捌元伍角
八月八日,盒马鲜生,随礼,贰佰捌拾陆元
八月九日,瑞幸咖啡,正餐,伍佰圆整
八月十日午间,杭州地铁,买菜,肆元
八月十一日,滴滴出行,咖啡,拾捌元
八月十二日,永辉超市,地铁,贰拾捌元伍角
八月十三日晚间,万达影城,打车,叁拾伍元
