过账时点,往来简称,方向码,票面,渠道附注,科室
1 Aug 2026 07:00,基本工资,Cr,12000.00元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 08:07,盒马鲜生,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 09:14,瑞幸咖啡,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 10:21,杭州地铁,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 11:28,滴滴出行,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 12:35,永辉超市,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 13:42,万达影城,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 14:49,海底捞西湖店,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 15:56,盒马鲜生,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 16:03,瑞幸咖啡,Dr,5.00元（优惠后）,WeChat Pay,人事
11 Aug 2026 17:10,杭州地铁,Dr,12.34元（优惠后）,Alipay,餐饮
12 Aug 2026 18:17,滴滴出行,Dr,56.80元（优惠后）,Bank Card,交通
13 Aug 2026 19:24,永辉超市,Dr,18.00元（优惠后）,WeChat Pay,日用
14 Aug 2026 20:31,万达影城,Dr,4.00元（优惠后）,Alipay,文娱
15 Aug 2026 07:38,海底捞西湖店,Dr,128.50元（优惠后）,Bank Card,人事
16 Aug 2026 08:45,盒马鲜生,Dr,286.00元（优惠后）,WeChat Pay,餐饮
17 Aug 2026 09:52,瑞幸咖啡,Dr,102.00元（优惠后）,Alipay,交通
18 Aug 2026 10:59,杭州地铁,Dr,36.00元（优惠后）,Bank Card,日用
19 Aug 2026 11:06,滴滴出行,Dr,78.40元（优惠后）,WeChat Pay,文娱
20 Aug 2026 12:13,永辉超市,Dr,5.00元（优惠后）,Alipay,人事
21 Aug 2026 13:20,万达影城,Dr,12.34元（优惠后）,Bank Card,餐饮
22 Aug 2026 14:27,海底捞西湖店,Dr,56.80元（优惠后）,WeChat Pay,交通
23 Aug 2026 15:34,盒马鲜生,Dr,18.00元（优惠后）,Alipay,日用
24 Aug 2026 16:41,瑞幸咖啡,Dr,4.00元（优惠后）,Bank Card,文娱
25 Aug 2026 17:48,杭州地铁,Dr,128.50元（优惠后）,WeChat Pay,人事
26 Aug 2026 18:55,基本工资,Cr,12000.00元（优惠后）,Alipay,餐饮
27 Aug 2026 19:02,永辉超市,Dr,102.00元（优惠后）,Bank Card,交通
28 Aug 2026 20:09,万达影城,Dr,36.00元（优惠后）,WeChat Pay,日用
29 Aug 2026 07:16,海底捞西湖店,Dr,78.40元（优惠后）,Alipay,文娱
30 Aug 2026 08:23,盒马鲜生,Dr,5.00元（优惠后）,Bank Card,人事
1 Aug 2026 09:30,瑞幸咖啡,Dr,12.34元（优惠后）,WeChat Pay,餐饮
2 Aug 2026 10:37,杭州地铁,Dr,56.80元（优惠后）,Alipay,交通
3 Aug 2026 11:44,滴滴出行,Dr,18.00元（优惠后）,Bank Card,日用
4 Aug 2026 12:51,永辉超市,Dr,4.00元（优惠后）,WeChat Pay,文娱
5 Aug 2026 13:58,万达影城,Dr,128.50元（优惠后）,Alipay,人事
6 Aug 2026 14:05,海底捞西湖店,Dr,286.00元（优惠后）,Bank Card,餐饮
7 Aug 2026 15:12,盒马鲜生,Dr,102.00元（优惠后）,WeChat Pay,交通
8 Aug 2026 16:19,瑞幸咖啡,Dr,36.00元（优惠后）,Alipay,日用
9 Aug 2026 17:26,杭州地铁,Dr,78.40元（优惠后）,Bank Card,文娱
10 Aug 2026 18:33,滴滴出行,Dr,5.00元（优惠后）,WeChat Pay,人事
