过账时点,往来简称,方向码,票面,渠道附注,科室
10 Jan 2026 11:11,海底捞西湖店,Dr,10.01元（优惠后）,Alipay,正餐
17 Jan 2026 14:22,大龙燚,Dr,10.18元（优惠后）,Cash in hand,火锅烧烤
24 Jan 2026 17:33,麦当劳湖滨,Dr,10.35元（优惠后）,UnionPay Debit,快餐
31 Jan 2026 20:44,美团外卖,Dr,10.52元（优惠后）,Misc Wallet,外卖
7 Feb 2026 10:55,盒马鲜生,Dr,10.69元（优惠后）,WeChat Pay,家庭买菜
14 Feb 2026 13:06,喜茶湖滨,Dr,10.86元（优惠后）,Alipay,咖啡奶茶
21 Feb 2026 16:17,百果园,Dr,11.03元（优惠后）,Cash in hand,零食水果
28 Feb 2026 19:28,优衣库,Dr,11.20元（优惠后）,UnionPay Debit,服饰鞋帽
7 Mar 2026 09:39,名创优品,Dr,11.37元（优惠后）,Misc Wallet,日用品
14 Mar 2026 12:50,公司财务,Cr,11.54元（到账）,WeChat Pay,奖金
21 Mar 2026 15:01,苏宁易购,Dr,11.71元（优惠后）,Alipay,家用电器
28 Mar 2026 18:12,屈臣氏,Dr,11.88元（优惠后）,Cash in hand,美妆护理
4 Apr 2026 08:23,建设银行房贷,Dr,12.05元（优惠后）,UnionPay Debit,房租房贷
11 Apr 2026 11:34,国网浙江电力,Dr,12.22元（优惠后）,Misc Wallet,电费
18 Apr 2026 14:45,杭州水务,Dr,12.39元（优惠后）,WeChat Pay,水费
25 Apr 2026 17:56,杭州燃气,Dr,12.56元（优惠后）,Alipay,燃气费
2 May 2026 20:07,绿城物业,Dr,12.73元（优惠后）,Cash in hand,物业费
9 May 2026 10:18,居然之家,Dr,12.90元（优惠后）,UnionPay Debit,维修装修
16 May 2026 13:29,杭州地铁,Dr,13.07元（优惠后）,Misc Wallet,公共交通
23 May 2026 16:40,公司财务,Cr,13.24元（到账）,WeChat Pay,加班费
30 May 2026 19:51,中石化,Dr,13.41元（优惠后）,Alipay,加油
6 Jun 2026 09:02,城西银泰停车,Dr,13.58元（优惠后）,Cash in hand,停车过路费
13 Jun 2026 12:13,杭州第二中学,Dr,13.75元（优惠后）,UnionPay Debit,学费
20 Jun 2026 15:24,晓风书屋,Dr,13.92元（优惠后）,Misc Wallet,书籍资料
27 Jun 2026 18:35,新东方,Dr,14.09元（优惠后）,WeChat Pay,培训班
4 Jul 2026 08:46,浙一医院,Dr,14.26元（优惠后）,Alipay,门诊药品
11 Jul 2026 11:57,邵逸夫医院,Dr,14.43元（优惠后）,Cash in hand,住院
18 Jul 2026 14:08,爱康国宾,Dr,14.60元（优惠后）,UnionPay Debit,体检保险
25 Jul 2026 17:19,携程旅行,Dr,14.77元（优惠后）,Misc Wallet,旅游度假
1 Aug 2026 20:30,工商银行,Cr,14.94元（到账）,WeChat Pay,利息
8 Aug 2026 10:41,横店影视,Dr,15.11元（优惠后）,Alipay,电影
15 Aug 2026 13:52,腾讯充值,Dr,15.28元（优惠后）,Cash in hand,游戏充值
22 Aug 2026 16:03,钱柜KTV,Dr,15.45元（优惠后）,UnionPay Debit,KTV
29 Aug 2026 19:14,爱奇艺,Dr,15.62元（优惠后）,Misc Wallet,流媒体会员
6 Jan 2026 09:25,表哥婚礼,Dr,15.79元（优惠后）,WeChat Pay,礼金红包
13 Jan 2026 12:36,花礼网,Dr,15.96元（优惠后）,Alipay,送礼
20 Jan 2026 15:47,外婆家,Dr,16.13元（优惠后）,Cash in hand,请客吃饭
27 Jan 2026 18:58,招商银行,Dr,16.30元（优惠后）,UnionPay Debit,手续费
3 Feb 2026 08:09,壹基金,Dr,16.47元（优惠后）,Misc Wallet,捐赠
10 Feb 2026 11:20,支付宝基金,Cr,16.64元（到账）,WeChat Pay,股票基金
17 Feb 2026 14:31,海底捞西湖店,Dr,16.81元（优惠后）,Alipay,正餐
24 Feb 2026 17:42,大龙燚,Dr,16.98元（优惠后）,Cash in hand,火锅烧烤
3 Mar 2026 20:53,麦当劳湖滨,Dr,17.15元（优惠后）,UnionPay Debit,快餐
10 Mar 2026 10:04,美团外卖,Dr,17.32元（优惠后）,Misc Wallet,外卖
17 Mar 2026 13:15,盒马鲜生,Dr,17.49元（优惠后）,WeChat Pay,家庭买菜
24 Mar 2026 16:26,喜茶湖滨,Dr,17.66元（优惠后）,Alipay,咖啡奶茶
31 Mar 2026 19:37,百果园,Dr,17.83元（优惠后）,Cash in hand,零食水果
7 Apr 2026 09:48,优衣库,Dr,18.00元（优惠后）,UnionPay Debit,服饰鞋帽
14 Apr 2026 12:59,名创优品,Dr,18.17元（优惠后）,Misc Wallet,日用品
21 Apr 2026 15:10,湖滨租客,Cr,18.34元（到账）,WeChat Pay,房租收入
28 Apr 2026 18:21,苏宁易购,Dr,18.51元（优惠后）,Alipay,家用电器
5 May 2026 08:32,屈臣氏,Dr,18.68元（优惠后）,Cash in hand,美妆护理
12 May 2026 11:43,建设银行房贷,Dr,18.85元（优惠后）,UnionPay Debit,房租房贷
19 May 2026 14:54,国网浙江电力,Dr,19.02元（优惠后）,Misc Wallet,电费
26 May 2026 17:05,杭州水务,Dr,19.19元（优惠后）,WeChat Pay,水费
2 Jun 2026 20:16,杭州燃气,Dr,19.36元（优惠后）,Alipay,燃气费
9 Jun 2026 10:27,绿城物业,Dr,19.53元（优惠后）,Cash in hand,物业费
16 Jun 2026 13:38,居然之家,Dr,19.70元（优惠后）,UnionPay Debit,维修装修
23 Jun 2026 16:49,杭州地铁,Dr,19.87元（优惠后）,Misc Wallet,公共交通
30 Jun 2026 19:00,舅舅随礼,Cr,20.04元（到账）,WeChat Pay,红包礼金
7 Jul 2026 09:11,中石化,Dr,20.21元（优惠后）,Alipay,加油
14 Jul 2026 12:22,城西银泰停车,Dr,20.38元（优惠后）,Cash in hand,停车过路费
21 Jul 2026 15:33,杭州第二中学,Dr,20.55元（优惠后）,UnionPay Debit,学费
28 Jul 2026 18:44,晓风书屋,Dr,20.72元（优惠后）,Misc Wallet,书籍资料
4 Aug 2026 08:55,新东方,Dr,20.89元（优惠后）,WeChat Pay,培训班
11 Aug 2026 11:06,浙一医院,Dr,21.06元（优惠后）,Alipay,门诊药品
18 Aug 2026 14:17,邵逸夫医院,Dr,21.23元（优惠后）,Cash in hand,住院
25 Aug 2026 17:28,爱康国宾,Dr,21.40元（优惠后）,UnionPay Debit,体检保险
1 Sep 2026 20:39,携程旅行,Dr,21.57元（优惠后）,Misc Wallet,旅游度假
9 Jan 2026 10:50,公司财务,Cr,21.74元（到账）,WeChat Pay,报销
16 Jan 2026 13:01,横店影视,Dr,21.91元（优惠后）,Alipay,电影
23 Jan 2026 16:12,腾讯充值,Dr,22.08元（优惠后）,Cash in hand,游戏充值
30 Jan 2026 19:23,钱柜KTV,Dr,22.25元（优惠后）,UnionPay Debit,KTV
6 Feb 2026 09:34,爱奇艺,Dr,22.42元（优惠后）,Misc Wallet,流媒体会员
13 Feb 2026 12:45,表哥婚礼,Dr,22.59元（优惠后）,WeChat Pay,礼金红包
20 Feb 2026 15:56,花礼网,Dr,22.76元（优惠后）,Alipay,送礼
27 Feb 2026 18:07,外婆家,Dr,22.93元（优惠后）,Cash in hand,请客吃饭
6 Mar 2026 08:18,招商银行,Dr,23.10元（优惠后）,UnionPay Debit,手续费
13 Mar 2026 11:29,壹基金,Dr,23.27元（优惠后）,Misc Wallet,捐赠
20 Mar 2026 14:40,周末家教,Cr,23.44元（到账）,WeChat Pay,兼职
27 Mar 2026 17:51,海底捞西湖店,Dr,23.61元（优惠后）,Alipay,正餐
3 Apr 2026 20:02,大龙燚,Dr,23.78元（优惠后）,Cash in hand,火锅烧烤
10 Apr 2026 10:13,麦当劳湖滨,Dr,23.95元（优惠后）,UnionPay Debit,快餐
17 Apr 2026 13:24,美团外卖,Dr,24.12元（优惠后）,Misc Wallet,外卖
24 Apr 2026 16:35,盒马鲜生,Dr,24.29元（优惠后）,WeChat Pay,家庭买菜
1 May 2026 19:46,喜茶湖滨,Dr,24.46元（优惠后）,Alipay,咖啡奶茶
8 May 2026 09:57,百果园,Dr,24.63元（优惠后）,Cash in hand,零食水果
15 May 2026 12:08,优衣库,Dr,24.80元（优惠后）,UnionPay Debit,服饰鞋帽
22 May 2026 15:19,名创优品,Dr,24.97元（优惠后）,Misc Wallet,日用品
29 May 2026 18:30,公司财务,Cr,25.14元（到账）,WeChat Pay,基本工资
5 Jun 2026 08:41,苏宁易购,Dr,25.31元（优惠后）,Alipay,家用电器
12 Jun 2026 11:52,屈臣氏,Dr,25.48元（优惠后）,Cash in hand,美妆护理
19 Jun 2026 14:03,建设银行房贷,Dr,25.65元（优惠后）,UnionPay Debit,房租房贷
26 Jun 2026 17:14,国网浙江电力,Dr,25.82元（优惠后）,Misc Wallet,电费
3 Jul 2026 20:25,杭州水务,Dr,25.99元（优惠后）,WeChat Pay,水费
10 Jul 2026 10:36,杭州燃气,Dr,26.16元（优惠后）,Alipay,燃气费
17 Jul 2026 13:47,绿城物业,Dr,26.33元（优惠后）,Cash in hand,物业费
24 Jul 2026 16:58,居然之家,Dr,26.50元（优惠后）,UnionPay Debit,维修装修
31 Jul 2026 19:09,杭州地铁,Dr,26.67元（优惠后）,Misc Wallet,公共交通
7 Aug 2026 09:20,公司财务,Cr,26.84元（到账）,WeChat Pay,奖金
14 Aug 2026 12:31,中石化,Dr,27.01元（优惠后）,Alipay,加油
21 Aug 2026 15:42,城西银泰停车,Dr,27.18元（优惠后）,Cash in hand,停车过路费
28 Aug 2026 18:53,杭州第二中学,Dr,27.35元（优惠后）,UnionPay Debit,学费
5 Jan 2026 08:04,晓风书屋,Dr,27.52元（优惠后）,Misc Wallet,书籍资料
12 Jan 2026 11:15,新东方,Dr,27.69元（优惠后）,WeChat Pay,培训班
19 Jan 2026 14:26,浙一医院,Dr,27.86元（优惠后）,Alipay,门诊药品
26 Jan 2026 17:37,邵逸夫医院,Dr,28.03元（优惠后）,Cash in hand,住院
2 Feb 2026 20:48,爱康国宾,Dr,28.20元（优惠后）,UnionPay Debit,体检保险
9 Feb 2026 10:59,携程旅行,Dr,28.37元（优惠后）,Misc Wallet,旅游度假
16 Feb 2026 13:10,公司财务,Cr,28.54元（到账）,WeChat Pay,加班费
23 Feb 2026 16:21,横店影视,Dr,28.71元（优惠后）,Alipay,电影
2 Mar 2026 19:32,腾讯充值,Dr,28.88元（优惠后）,Cash in hand,游戏充值
9 Mar 2026 09:43,钱柜KTV,Dr,29.05元（优惠后）,UnionPay Debit,KTV
16 Mar 2026 12:54,爱奇艺,Dr,29.22元（优惠后）,Misc Wallet,流媒体会员
23 Mar 2026 15:05,表哥婚礼,Dr,29.39元（优惠后）,WeChat Pay,礼金红包
30 Mar 2026 18:16,花礼网,Dr,29.56元（优惠后）,Alipay,送礼
